team,opponent,wins,color
D-backs,D-backs,0,0
D-backs,Giants,4,0
D-backs,Braves,0,0
D-backs,Mets,3,0
D-backs,Orioles,0,0
D-backs,Blue Jays,0,0
D-backs,Red Sox,0,0
D-backs,Pirates,4,0
D-backs,Cubs,0,0
D-backs,Cardinals,1,0
D-backs,White Sox,3,0
D-backs,Tigers,3,0
D-backs,Reds,1,0
D-backs,Phillies,6,0
D-backs,Indians,3,0
D-backs,Rangers,0,0
D-backs,Rockies,6,0
D-backs,Brewers,4,0
D-backs,Astros,0,0
D-backs,Mariners,0,0
D-backs,Angels,0,0
D-backs,Athletics,0,0
D-backs,Yankees,0,0
D-backs,Rays,0,0
D-backs,Twins,0,0
D-backs,Royals,0,0
D-backs,Marlins,1,0
D-backs,Nationals,1,0
D-backs,Padres,9,0
D-backs,Dodgers,4,0
Giants,D-backs,3,1
Giants,Giants,0,1
Giants,Braves,3,1
Giants,Mets,1,1
Giants,Orioles,0,1
Giants,Blue Jays,0,1
Giants,Red Sox,0,1
Giants,Pirates,3,1
Giants,Cubs,1,1
Giants,Cardinals,2,1
Giants,White Sox,0,1
Giants,Tigers,1,1
Giants,Reds,3,1
Giants,Phillies,1,1
Giants,Indians,0,1
Giants,Rangers,0,1
Giants,Rockies,4,1
Giants,Brewers,2,1
Giants,Astros,0,1
Giants,Mariners,0,1
Giants,Angels,0,1
Giants,Athletics,0,1
Giants,Yankees,0,1
Giants,Rays,0,1
Giants,Twins,1,1
Giants,Royals,1,1
Giants,Marlins,0,1
Giants,Nationals,0,1
Giants,Padres,2,1
Giants,Dodgers,6,1
Braves,D-backs,0,2
Braves,Giants,4,2
Braves,Braves,0,2
Braves,Mets,5,2
Braves,Orioles,0,2
Braves,Blue Jays,3,2
Braves,Red Sox,0,2
Braves,Pirates,2,2
Braves,Cubs,0,2
Braves,Cardinals,0,2
Braves,White Sox,0,2
Braves,Tigers,0,2
Braves,Reds,2,2
Braves,Phillies,2,2
Braves,Indians,0,2
Braves,Rangers,0,2
Braves,Rockies,0,2
Braves,Brewers,4,2
Braves,Astros,0,2
Braves,Mariners,0,2
Braves,Angels,1,2
Braves,Athletics,3,2
Braves,Yankees,0,2
Braves,Rays,0,2
Braves,Twins,0,2
Braves,Royals,0,2
Braves,Marlins,5,2
Braves,Nationals,6,2
Braves,Padres,5,2
Braves,Dodgers,0,2
Mets,D-backs,0,3
Mets,Giants,5,3
Mets,Braves,7,3
Mets,Mets,0,3
Mets,Orioles,0,3
Mets,Blue Jays,0,3
Mets,Red Sox,0,3
Mets,Pirates,3,3
Mets,Cubs,2,3
Mets,Cardinals,1,3
Mets,White Sox,0,3
Mets,Tigers,0,3
Mets,Reds,0,3
Mets,Phillies,6,3
Mets,Indians,0,3
Mets,Rangers,1,3
Mets,Rockies,0,3
Mets,Brewers,2,3
Mets,Astros,0,3
Mets,Mariners,0,3
Mets,Angels,2,3
Mets,Athletics,0,3
Mets,Yankees,0,3
Mets,Rays,0,3
Mets,Twins,0,3
Mets,Royals,0,3
Mets,Marlins,6,3
Mets,Nationals,3,3
Mets,Padres,1,3
Mets,Dodgers,0,3
Orioles,D-backs,0,4
Orioles,Giants,0,4
Orioles,Braves,0,4
Orioles,Mets,0,4
Orioles,Orioles,0,4
Orioles,Blue Jays,9,4
Orioles,Red Sox,7,4
Orioles,Pirates,2,4
Orioles,Cubs,0,4
Orioles,Cardinals,2,4
Orioles,White Sox,4,4
Orioles,Tigers,1,4
Orioles,Reds,2,4
Orioles,Phillies,0,4
Orioles,Indians,1,4
Orioles,Rangers,0,4
Orioles,Rockies,0,4
Orioles,Brewers,0,4
Orioles,Astros,0,4
Orioles,Mariners,0,4
Orioles,Angels,0,4
Orioles,Athletics,0,4
Orioles,Yankees,5,4
Orioles,Rays,5,4
Orioles,Twins,2,4
Orioles,Royals,0,4
Orioles,Marlins,0,4
Orioles,Nationals,2,4
Orioles,Padres,0,4
Orioles,Dodgers,0,4
Blue Jays,D-backs,0,5
Blue Jays,Giants,0,5
Blue Jays,Braves,1,5
Blue Jays,Mets,0,5
Blue Jays,Orioles,3,5
Blue Jays,Blue Jays,0,5
Blue Jays,Red Sox,1,5
Blue Jays,Pirates,0,5
Blue Jays,Cubs,0,5
Blue Jays,Cardinals,1,5
Blue Jays,White Sox,1,5
Blue Jays,Tigers,0,5
Blue Jays,Reds,3,5
Blue Jays,Phillies,0,5
Blue Jays,Indians,2,5
Blue Jays,Rangers,4,5
Blue Jays,Rockies,0,5
Blue Jays,Brewers,2,5
Blue Jays,Astros,2,5
Blue Jays,Mariners,6,5
Blue Jays,Angels,2,5
Blue Jays,Athletics,1,5
Blue Jays,Yankees,5,5
Blue Jays,Rays,6,5
Blue Jays,Twins,0,5
Blue Jays,Royals,1,5
Blue Jays,Marlins,0,5
Blue Jays,Nationals,0,5
Blue Jays,Padres,0,5
Blue Jays,Dodgers,0,5
Red Sox,D-backs,0,6
Red Sox,Giants,0,6
Red Sox,Braves,0,6
Red Sox,Mets,0,6
Red Sox,Orioles,6,6
Red Sox,Blue Jays,5,6
Red Sox,Red Sox,0,6
Red Sox,Pirates,3,6
Red Sox,Cubs,2,6
Red Sox,Cardinals,2,6
Red Sox,White Sox,2,6
Red Sox,Tigers,3,6
Red Sox,Reds,0,6
Red Sox,Phillies,3,6
Red Sox,Indians,0,6
Red Sox,Rangers,5,6
Red Sox,Rockies,0,6
Red Sox,Brewers,1,6
Red Sox,Astros,2,6
Red Sox,Mariners,2,6
Red Sox,Angels,1,6
Red Sox,Athletics,1,6
Red Sox,Yankees,1,6
Red Sox,Rays,5,6
Red Sox,Twins,5,6
Red Sox,Royals,1,6
Red Sox,Marlins,0,6
Red Sox,Nationals,0,6
Red Sox,Padres,0,6
Red Sox,Dodgers,0,6
Pirates,D-backs,3,7
Pirates,Giants,0,7
Pirates,Braves,5,7
Pirates,Mets,3,7
Pirates,Orioles,0,7
Pirates,Blue Jays,0,7
Pirates,Red Sox,0,7
Pirates,Pirates,0,7
Pirates,Cubs,7,7
Pirates,Cardinals,2,7
Pirates,White Sox,0,7
Pirates,Tigers,0,7
Pirates,Reds,1,7
Pirates,Phillies,5,7
Pirates,Indians,0,7
Pirates,Rangers,0,7
Pirates,Rockies,2,7
Pirates,Brewers,4,7
Pirates,Astros,0,7
Pirates,Mariners,0,7
Pirates,Angels,0,7
Pirates,Athletics,0,7
Pirates,Yankees,2,7
Pirates,Rays,2,7
Pirates,Twins,0,7
Pirates,Royals,0,7
Pirates,Marlins,4,7
Pirates,Nationals,2,7
Pirates,Padres,0,7
Pirates,Dodgers,0,7
Cubs,D-backs,0,8
Cubs,Giants,3,8
Cubs,Braves,0,8
Cubs,Mets,1,8
Cubs,Orioles,0,8
Cubs,Blue Jays,0,8
Cubs,Red Sox,1,8
Cubs,Pirates,5,8
Cubs,Cubs,0,8
